REFERENDUM,LEGISLATURA,PRESIDENTE DELLA REPUBBLICA,DESCRIZIONE_REP,PRESIDENTE DEL CONSIGLIO,DESCRIZIONE_CONSIGLIO,IMMAGINE_REPUBBLICA,IMMAGINE_MINISTRO,LINK_REP,LINK_CONS
2-3 giugno 1946,I (1948–1953),Enrico De Nicola,"Enrico De Nicola (Napoli 1877 – 1959) primo presidente della Repubblica. Capo provvisorio dello Stato dal 1946 al 1947",Alcide De Gasperi,"Alcide De Gasperi (Pieve Tesino 1881 – 1954), fondatore della DC e Presidente del Consiglio in 8 governi successivi.",Enrico_DeNicola.png,Alcide_DeGasperi.png,https://it.wikipedia.org/wiki/Enrico_De_Nicola,https://it.wikipedia.org/wiki/Alcide_De_Gasperi
12-13 maggio 1974,VI (1972–1976),Giovanni Leone,"Giovanni Leone (Napoli 1908 – 2001), 6º Presidente della Repubblica (1971-1978). Dimesso anticipatamente.",Mariano Rumor,"Mariano Rumor (Vicenza 1915 – 1990), cinque volte Presidente del Consiglio fra il 1968 e il 1974.",Giovanni_Leone.png,Mariano_Rumor.png,https://it.wikipedia.org/wiki/Giovanni_Leone,https://it.wikipedia.org/wiki/Mariano_Rumor
11-21 giugno 1978,VII (1976–1979),Sandro Pertini,"Sandro Pertini (Stella 1896 – Roma 1990), partigiano. 7º presidente (1978-1985), primo socialista al Quirinale.",Giulio Andreotti,"Giulio Andreotti (Roma 1919 – 2013), uno dei principali esponenti della DC, sette volte Presidente del Consiglio.",Sandro_Pertini.png,Giuliano_Andreotti.png,https://it.wikipedia.org/wiki/Sandro_Pertini,https://it.wikipedia.org/wiki/Giulio_Andreotti
17 maggio 1981,VIII (1979–1983),Sandro Pertini,"Sandro Pertini (Stella 1896 – Roma 1990), partigiano. 7º presidente (1978-1985), primo socialista al Quirinale.",Arnaldo Forlani,"Arnaldo Forlani (Pesaro 1925 – Roma 2023), segretario della DC e Presidente del Consiglio (1980-1981).",Sandro_Pertini.png,Arnaldo_Forlani.png,https://it.wikipedia.org/wiki/Sandro_Pertini,https://it.wikipedia.org/wiki/Arnaldo_Forlani
9 giugno 1985,IX (1983–1987),Sandro Pertini,"Sandro Pertini (Stella 1896 – Roma 1990), partigiano. 7º presidente (1978-1985), primo socialista al Quirinale.",Bettino Craxi,"Bettino Craxi (Milano 1934 – Hammamet 2000), primo socialista a guidare il governo (1983-1987).",Sandro_Pertini.png,Bettino_Craxi.png,https://it.wikipedia.org/wiki/Sandro_Pertini,https://it.wikipedia.org/wiki/Bettino_Craxi
8 novembre 1987,X (1987–1992),Francesco Cossiga,"Francesco Cossiga (Sassari 1928 – 2010), 8º Presidente della Repubblica (1985-1992).",Giovanni Goria,"Giovanni Goria (Asti 1943 – 1994), Presidente del Consiglio dal 1987 al 1988, il più giovane della storia repubblicana all'epoca.",Francesco_Cossiga.png,Giovanni_Gloria.png,https://it.wikipedia.org/wiki/Francesco_Cossiga,https://it.wikipedia.org/wiki/Giovanni_Goria
18 giugno 1989,X (1987–1992),Francesco Cossiga,"Francesco Cossiga (Sassari 1928 – 2010), 8º Presidente della Repubblica (1985-1992).",Ciriaco De Mita,"Ciriaco De Mita (Nusco 1928 – 2022), Presidente del Consiglio (1988-1989) e segretario DC.",Francesco_Cossiga.png,Ciriaco_DeMita.png,https://it.wikipedia.org/wiki/Francesco_Cossiga,https://it.wikipedia.org/wiki/Ciriaco_De_Mita
3 giugno 1990,X (1987–1992),Francesco Cossiga,"Francesco Cossiga (Sassari 1928 – 2010), 8º Presidente della Repubblica (1985-1992).",Giulio Andreotti,"Giulio Andreotti (Roma 1919 – 2013), protagonista della vita politica italiana per gran parte del XX secolo.",Francesco_Cossiga.png,Giuliano_Andreotti.png,https://it.wikipedia.org/wiki/Francesco_Cossiga,https://it.wikipedia.org/wiki/Giulio_Andreotti
9-10 giugno 1991,X (1987–1992),Francesco Cossiga,"Francesco Cossiga (Sassari 1928 – 2010), 8º Presidente della Repubblica (1985-1992).",Giulio Andreotti,"Giulio Andreotti (Roma 1919 – 2013), protagonista della vita politica italiana per gran parte del XX secolo.",Francesco_Cossiga.png,Giuliano_Andreotti.png,https://it.wikipedia.org/wiki/Francesco_Cossiga,https://it.wikipedia.org/wiki/Giulio_Andreotti
18 aprile 1993,XI (1992–1994),Oscar Luigi Scalfaro,"Oscar Luigi Scalfaro (Novara 1918 – 2012), 9º presidente (1992-1999). Eletto dopo le stragi di mafia.",Giuliano Amato,"Giuliano Amato (Torino 1938), Presidente del Consiglio (1992-93) durante la crisi della Lira e Tangentopoli.",Oscar_Luigi_Scalfaro.png,Giuliano_Amato.png,https://it.wikipedia.org/wiki/Oscar_Luigi_Scalfaro,https://it.wikipedia.org/wiki/Giuliano_Amato
