REGIONE,PROVINCIA,QUESITO,Campo calcolato 1,SUM of NUM_REFERENDUM,SUM of ELETTORI,SUM of ELETTORI_MASCHI,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_MASCHI,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SCHEDE_BIANCHE
 Total,,,#DIV/0!,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ABRUZZI,Chieti,Autorizzazione al commercio,50.95%,6,"358,847.00","175,001.00","183,846.00","182,826.00","92,598.00","90,228.00","59,313.00","95,980.00","22,772.00"
,,Concessioni televisive nazionali,51.68%,0,"358,847.00","175,001.00","183,846.00","185,446.00","93,989.00","91,457.00","67,794.00","106,460.00","7,594.00"
,,Contrattazione pubblico impiego,50.92%,3,"358,847.00","175,001.00","183,846.00","182,714.00","92,518.00","90,196.00","93,368.00","60,180.00","24,145.00"
,,Interruzioni pubblicitarie,51.68%,0,"358,847.00","175,001.00","183,846.00","185,469.00","94,009.00","91,460.00","69,791.00","105,129.00","7,256.00"
,,Legge elettorale comuni,50.97%,8,"358,847.00","175,001.00","183,846.00","182,910.00","92,696.00","90,214.00","80,682.00","75,180.00","22,465.00"
,,Orari esercizi commerciali,51.01%,9,"358,847.00","175,001.00","183,846.00","183,037.00","92,722.00","90,315.00","62,853.00","96,607.00","19,091.00"
,,Privatizzazione RAI,50.98%,5,"358,847.00","175,001.00","183,846.00","182,955.00","92,738.00","90,217.00","75,468.00","82,951.00","20,085.00"
,,Raccolta pubblicita' radiotelevisiva,51.67%,0,"358,847.00","175,001.00","183,846.00","185,408.00","93,938.00","91,470.00","68,344.00","106,147.00","7,550.00"
,,Rappresentanze sindacali (richiesta massimale),50.91%,1,"358,847.00","175,001.00","183,846.00","182,701.00","92,589.00","90,112.00","78,910.00","76,806.00","21,590.00"
,,Rappresentanze sindacali (richiesta minimale),50.90%,2,"358,847.00","175,001.00","183,846.00","182,660.00","92,589.00","90,071.00","89,673.00","64,138.00","23,849.00"
,,Soggiorno cautelare,50.94%,4,"358,847.00","175,001.00","183,846.00","182,791.00","92,487.00","90,304.00","86,029.00","66,025.00","25,124.00"
,,Trattenute contributi sindacali,50.99%,7,"358,847.00","175,001.00","183,846.00","182,992.00","92,749.00","90,243.00","86,693.00","70,015.00","21,687.00"
,Chieti Total,,51.13%,45,"4,306,164.00","2,100,012.00","2,206,152.00","2,201,909.00","1,115,622.00","1,086,287.00","918,918.00","1,005,618.00","223,208.00"
,L'Aquila,Autorizzazione al commercio,47.65%,6,"278,907.00","135,368.00","143,539.00","132,895.00","66,126.00","66,769.00","44,708.00","66,643.00","18,560.00"
,,Concessioni televisive nazionali,48.57%,0,"278,907.00","135,368.00","143,539.00","135,475.00","67,434.00","68,041.00","45,154.00","83,116.00","5,219.00"
,,Contrattazione pubblico impiego,47.59%,3,"278,907.00","135,368.00","143,539.00","132,718.00","66,028.00","66,690.00","71,282.00","38,864.00","19,254.00"
,,Interruzioni pubblicitarie,48.57%,0,"278,907.00","135,368.00","143,539.00","135,464.00","67,419.00","68,045.00","46,324.00","82,251.00","5,246.00"
,,Legge elettorale comuni,47.71%,8,"278,907.00","135,368.00","143,539.00","133,069.00","66,232.00","66,837.00","61,782.00","49,609.00","18,659.00"
