REGIONE,PROVINCIA,QUESITO,SUM of ELETTORI_TOT,SUM of ELETTORI_M,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_M,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SKBIANCHE,AFFLUENZA
ABRUZZI,Chieti,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"366,388.00","178,484.00","187,904.00","111,655.00","58,112.00","53,543.00","65,154.00","41,078.00","2,538.00",0.3047452427
,Chieti Total,,"366,388.00","178,484.00","187,904.00","111,655.00","58,112.00","53,543.00","65,154.00","41,078.00","2,538.00",0.3047452427
,L'Aquila,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"270,799.00","131,184.00","139,615.00","84,555.00","42,808.00","41,747.00","47,041.00","33,527.00","1,557.00",0.3122426597
,L'Aquila Total,,"270,799.00","131,184.00","139,615.00","84,555.00","42,808.00","41,747.00","47,041.00","33,527.00","1,557.00",0.3122426597
,Pescara,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"274,451.00","132,657.00","141,794.00","87,155.00","44,493.00","42,662.00","51,599.00","32,140.00","1,543.00",0.3175612404
,Pescara Total,,"274,451.00","132,657.00","141,794.00","87,155.00","44,493.00","42,662.00","51,599.00","32,140.00","1,543.00",0.3175612404
,Teramo,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"258,324.00","126,655.00","131,669.00","79,204.00","41,258.00","37,946.00","46,441.00","28,544.00","1,651.00",0.3066072065
,Teramo Total,,"258,324.00","126,655.00","131,669.00","79,204.00","41,258.00","37,946.00","46,441.00","28,544.00","1,651.00",0.3066072065
ABRUZZI Total,,,"1,169,962.00","568,980.00","600,982.00","362,569.00","186,671.00","175,898.00","210,235.00","135,289.00","7,289.00",0.3098980993
BASILICATA,Matera,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"174,019.00","85,368.00","88,651.00","48,590.00","25,849.00","22,741.00","30,568.00","15,058.00",978.00,0.2792223838
,Matera Total,,"174,019.00","85,368.00","88,651.00","48,590.00","25,849.00","22,741.00","30,568.00","15,058.00",978.00,0.2792223838
,Potenza,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"361,278.00","177,808.00","183,470.00","93,942.00","49,708.00","44,234.00","58,381.00","29,825.00","2,479.00",0.2600269045
,Potenza Total,,"361,278.00","177,808.00","183,470.00","93,942.00","49,708.00","44,234.00","58,381.00","29,825.00","2,479.00",0.2600269045
BASILICATA Total,,,"535,297.00","263,176.00","272,121.00","142,532.00","75,557.00","66,975.00","88,949.00","44,883.00","3,457.00",0.2662671377
CALABRIA,Catanzaro,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"330,382.00","160,872.00","169,510.00","67,214.00","36,020.00","31,194.00","39,968.00","23,470.00","1,717.00",0.2034432869
,Catanzaro Total,,"330,382.00","160,872.00","169,510.00","67,214.00","36,020.00","31,194.00","39,968.00","23,470.00","1,717.00",0.2034432869
,Cosenza,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"649,293.00","319,140.00","330,153.00","141,937.00","76,373.00","65,564.00","85,850.00","46,265.00","3,904.00",0.2186023875
,Cosenza Total,,"649,293.00","319,140.00","330,153.00","141,937.00","76,373.00","65,564.00","85,850.00","46,265.00","3,904.00",0.2186023875
,Crotone,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"148,727.00","73,223.00","75,504.00","23,958.00","13,526.00","10,432.00","15,604.00","7,187.00",513.00,0.1610870925
,Crotone Total,,"148,727.00","73,223.00","75,504.00","23,958.00","13,526.00","10,432.00","15,604.00","7,187.00",513.00,0.1610870925
,Reggio Calabria,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"494,048.00","238,672.00","255,376.00","91,898.00","48,899.00","42,999.00","52,837.00","33,097.00","2,386.00",0.1860102662
,Reggio Calabria Total,,"494,048.00","238,672.00","255,376.00","91,898.00","48,899.00","42,999.00","52,837.00","33,097.00","2,386.00",0.1860102662
,Vibo Valentia,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"155,192.00","76,508.00","78,684.00","31,114.00","16,586.00","14,528.00","18,600.00","10,217.00","1,111.00",0.2004871385
,Vibo Valentia Total,,"155,192.00","76,508.00","78,684.00","31,114.00","16,586.00","14,528.00","18,600.00","10,217.00","1,111.00",0.2004871385
CALABRIA Total,,,"1,777,642.00","868,415.00","909,227.00","356,121.00","191,404.00","164,717.00","212,859.00","120,236.00","9,631.00",0.200333363
CAMPANIA,Avellino,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"417,524.00","205,255.00","212,269.00","92,787.00","49,649.00","43,138.00","56,232.00","30,843.00","1,937.00",0.2222315364
,Avellino Total,,"417,524.00","205,255.00","212,269.00","92,787.00","49,649.00","43,138.00","56,232.00","30,843.00","1,937.00",0.2222315364
,Benevento,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"269,129.00","130,313.00","138,816.00","61,229.00","32,135.00","29,094.00","34,088.00","23,711.00","1,642.00",0.227507998
,Benevento Total,,"269,129.00","130,313.00","138,816.00","61,229.00","32,135.00","29,094.00","34,088.00","23,711.00","1,642.00",0.227507998
,Caserta,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"701,234.00","339,966.00","361,268.00","158,476.00","83,234.00","75,242.00","86,482.00","63,817.00","3,872.00",0.2259958873
,Caserta Total,,"701,234.00","339,966.00","361,268.00","158,476.00","83,234.00","75,242.00","86,482.00","63,817.00","3,872.00",0.2259958873
,Napoli,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"2,476,686.00","1,193,709.00","1,282,977.00","617,758.00","321,592.00","296,166.00","395,925.00","199,210.00","6,011.00",0.2494292777
,Napoli Total,,"2,476,686.00","1,193,709.00","1,282,977.00","617,758.00","321,592.00","296,166.00","395,925.00","199,210.00","6,011.00",0.2494292777
,Salerno,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"918,221.00","446,435.00","471,786.00","252,998.00","130,669.00","122,329.00","143,343.00","97,281.00","5,909.00",0.2755306184
,Salerno Total,,"918,221.00","446,435.00","471,786.00","252,998.00","130,669.00","122,329.00","143,343.00","97,281.00","5,909.00",0.2755306184
CAMPANIA Total,,,"4,782,794.00","2,315,678.00","2,467,116.00","1,183,248.00","617,279.00","565,969.00","716,070.00","414,862.00","19,371.00",0.2473968145
EMILIA ROMAGNA,Bologna,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"789,616.00","375,127.00","414,489.00","421,015.00","204,212.00","216,803.00","310,555.00","99,863.00","3,011.00",0.5331895504
,Bologna Total,,"789,616.00","375,127.00","414,489.00","421,015.00","204,212.00","216,803.00","310,555.00","99,863.00","3,011.00",0.5331895504
,Ferrara,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"309,493.00","146,582.00","162,911.00","150,522.00","73,950.00","76,572.00","104,245.00","43,246.00","1,485.00",0.4863502567
,Ferrara Total,,"309,493.00","146,582.00","162,911.00","150,522.00","73,950.00","76,572.00","104,245.00","43,246.00","1,485.00",0.4863502567
,Forlì-Cesena,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"308,229.00","148,364.00","159,865.00","136,874.00","68,371.00","68,503.00","97,577.00","36,937.00",959.00,0.444065938
,Forlì-Cesena Total,,"308,229.00","148,364.00","159,865.00","136,874.00","68,371.00","68,503.00","97,577.00","36,937.00",959.00,0.444065938
,Modena,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"529,993.00","255,311.00","274,682.00","269,272.00","132,040.00","137,232.00","201,565.00","63,301.00","2,576.00",0.5080670877
,Modena Total,,"529,993.00","255,311.00","274,682.00","269,272.00","132,040.00","137,232.00","201,565.00","63,301.00","2,576.00",0.5080670877
,Parma,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"348,815.00","166,919.00","181,896.00","141,086.00","70,592.00","70,494.00","94,680.00","41,994.00","1,257.00",0.4044722847
,Parma Total,,"348,815.00","166,919.00","181,896.00","141,086.00","70,592.00","70,494.00","94,680.00","41,994.00","1,257.00",0.4044722847
