REGIONE,PROVINCIA,QUESITO,Campo calcolato 1,SUM of NUM_REFERENDUM,SUM of ELETTORI,SUM of ELETTORI_M,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_M,SUM of VOTANTI_F,SUM of NUMVOTISI,SUM of NUMVOTINO,SUM of SCHEDE_BIANCHE
 Total,,,#DIV/0!,0,0,0,0,0,0,0,0,0,0
ABRUZZO,CHIETI,Commissione inquirente,60.26%,2,328301,159922,168379,197833,100563,97270,135914,26194,22937
,,Contributi enti locali,60.25%,4,328301,159922,168379,197810,100548,97262,129087,31657,24114
,,Divieto partecipazione dell'ENEL a impianti nucleari all'estero,60.26%,5,328301,159922,168379,197838,100563,97275,113290,49762,21850
,,Localizzazione centrali nucleari,60.26%,3,328301,159922,168379,197818,100555,97263,132430,29384,22937
,,Responsabilita' civile del giudice,60.25%,1,328301,159922,168379,197814,100565,97249,130117,31272,23312
,CHIETI Total,,60.26%,15,1641505,799610,841895,989113,502794,486319,640838,168269,115150
,L'AQUILA,Commissione inquirente,56.14%,2,268425,130534,137891,150696,75085,75611,104269,21547,16958
,,Contributi enti locali,56.11%,4,268425,130534,137891,150603,75027,75576,97789,27078,18246
,,Divieto partecipazione dell'ENEL a impianti nucleari all'estero,56.15%,5,268425,130534,137891,150728,75119,75609,88194,38426,16120
,,Localizzazione centrali nucleari,56.12%,3,268425,130534,137891,150637,75037,75600,99625,26025,17218
,,Responsabilita' civile del giudice,56.14%,1,268425,130534,137891,150691,75062,75629,99934,25578,17196
,L'AQUILA Total,,56.13%,15,1342125,652670,689455,753355,375330,378025,489811,138654,85738
,PESCARA,Commissione inquirente,60.14%,2,249781,121254,128527,150211,76266,73945,109660,18636,13577
,,Contributi enti locali,60.11%,4,249781,121254,128527,150153,76231,73922,103318,23672,14489
,,Divieto partecipazione dell'ENEL a impianti nucleari all'estero,60.13%,5,249781,121254,128527,150187,76252,73935,93648,34908,13143
,,Localizzazione centrali nucleari,60.12%,3,249781,121254,128527,150157,76229,73928,105586,22309,13919
,,Responsabilita' civile del giudice,60.12%,1,249781,121254,128527,150160,76248,73912,104226,23089,14072
,PESCARA Total,,60.12%,15,1248905,606270,642635,750868,381226,369642,516438,122614,69200
,TERAMO,Commissione inquirente,64.39%,2,231715,113971,117744,149192,75667,73525,102484,18836,17997
,,Contributi enti locali,64.37%,4,231715,113971,117744,149166,75649,73517,98372,21736,18464
,,Divieto partecipazione dell'ENEL a impianti nucleari all'estero,64.39%,5,231715,113971,117744,149206,75687,73519,90416,31826,17039
,,Localizzazione centrali nucleari,64.37%,3,231715,113971,117744,149164,75650,73514,100413,20782,18070
,,Responsabilita' civile del giudice,64.39%,1,231715,113971,117744,149192,75669,73523,98858,22000,17988
,TERAMO Total,,64.38%,15,1158575,569855,588720,745920,378322,367598,490543,115180,89558
ABRUZZO Total,,,60.09%,60,5391110,2628405,2762705,3239256,1637672,1601584,2137630,544717,359646
BASILICATA,MATERA,Commissione inquirente,59.57%,2,156625,76996,79629,93304,47842,45462,64388,11668,8975
,,Contributi enti locali,59.56%,4,156625,76996,79629,93279,47824,45455,61877,13686,9506
,,Divieto partecipazione dell'ENEL a impianti nucleari all'estero,59.56%,5,156625,76996,79629,93285,47834,45451,57781,18655,8718
,,Localizzazione centrali nucleari,59.55%,3,156625,76996,79629,93274,47822,45452,63043,12959,9169
,,Responsabilita' civile del giudice,59.57%,1,156625,76996,79629,93296,47841,45455,61517,14150,9219
,MATERA Total,,59.56%,15,783125,384980,398145,466438,239163,227275,308606,71118,45587
,POTENZA,Commissione inquirente,53.29%,2,330662,162747,167915,176202,90543,85659,120688,23229,20807
,,Contributi enti locali,53.28%,4,330662,162747,167915,176162,90507,85655,116360,26364,21723
,,Divieto partecipazione dell'ENEL a impianti nucleari all'estero,53.28%,5,330662,162747,167915,176169,90515,85654,107675,36702,4144
,,Localizzazione centrali nucleari,53.28%,3,330662,162747,167915,176170,90518,85652,118499,25135,21142
