REGIONE,PROVINCIA,QUESITO,Campo calcolato 1,SUM of NUM_REFERENDUM,SUM of ELETTORI,SUM of ELETTORI_M,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_M,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SCHEDE_BIANCHE
 Total,,,#DIV/0!,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ABRUZZI,CHIETI,Accesso dei cacciatori a fondi privati,43.25%,2,"336,174.00","163,498.00","172,676.00","145,409.00","71,983.00","73,426.00","127,921.00","10,228.00","4,707.00"
,,Disciplina della caccia,43.24%,1,"336,174.00","163,498.00","172,676.00","145,358.00","71,943.00","73,415.00","126,965.00","10,409.00","5,074.00"
,,Uso dei pesticidi,43.28%,3,"336,174.00","163,498.00","172,676.00","145,502.00","72,049.00","73,453.00","126,838.00","11,213.00","4,836.00"
,CHIETI Total,,43.26%,6,"1,008,522.00","490,494.00","518,028.00","436,269.00","215,975.00","220,294.00","381,724.00","31,850.00","14,617.00"
,L'AQUILA,Accesso dei cacciatori a fondi privati,43.21%,2,"271,410.00","131,527.00","139,883.00","117,282.00","57,079.00","60,203.00","105,096.00","7,181.00","3,222.00"
,,Disciplina della caccia,43.20%,1,"271,410.00","131,527.00","139,883.00","117,252.00","57,061.00","60,191.00","104,134.00","7,513.00","3,568.00"
,,Uso dei pesticidi,43.27%,3,"271,410.00","131,527.00","139,883.00","117,444.00","57,188.00","60,256.00","104,885.00","7,461.00","3,284.00"
,L'AQUILA Total,,43.23%,6,"814,230.00","394,581.00","419,649.00","351,978.00","171,328.00","180,650.00","314,115.00","22,155.00","10,074.00"
,PESCARA,Accesso dei cacciatori a fondi privati,46.01%,2,"255,446.00","124,038.00","131,408.00","117,534.00","57,427.00","60,107.00","106,125.00","6,683.00","2,931.00"
,,Disciplina della caccia,46.00%,1,"255,446.00","124,038.00","131,408.00","117,500.00","57,410.00","60,090.00","105,687.00","6,832.00","3,340.00"
,,Uso dei pesticidi,46.05%,3,"255,446.00","124,038.00","131,408.00","117,645.00","57,526.00","60,119.00","106,501.00","6,391.00","2,915.00"
