REGIONE,PROVINCIA,QUESITO,Campo calcolato 1,SUM of NUM_REFERENDUM,SUM of ELETTORI,SUM of ELETTORI_MASCHI,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_M,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SCHEDE_BIANCHE
 Total,,,#DIV/0!,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ABRUZZI,Chieti,Riduzione preferenze Camera dei Deputati,55.95%,1,"374,332.00","182,221.00","192,111.00","209,431.00","105,463.00","103,968.00","174,454.00","11,561.00","5,409.00"
,Chieti Total,,55.95%,1,"374,332.00","182,221.00","192,111.00","209,431.00","105,463.00","103,968.00","174,454.00","11,561.00","5,409.00"
,L'Aquila,Riduzione preferenze Camera dei Deputati,55.37%,1,"273,388.00","132,460.00","140,928.00","151,373.00","74,165.00","77,208.00","135,086.00","7,788.00","3,686.00"
,L'Aquila Total,,55.37%,1,"273,388.00","132,460.00","140,928.00","151,373.00","74,165.00","77,208.00","135,086.00","7,788.00","3,686.00"
,Pescara,Riduzione preferenze Camera dei Deputati,60.11%,1,"257,296.00","125,045.00","132,251.00","154,667.00","77,349.00","77,318.00","139,549.00","7,127.00","3,351.00"
,Pescara Total,,60.11%,1,"257,296.00","125,045.00","132,251.00","154,667.00","77,349.00","77,318.00","139,549.00","7,127.00","3,351.00"
,Teramo,Riduzione preferenze Camera dei Deputati,61.28%,1,"240,826.00","118,328.00","122,498.00","147,581.00","74,476.00","73,105.00","130,189.00","7,681.00","4,102.00"
,Teramo Total,,61.28%,1,"240,826.00","118,328.00","122,498.00","147,581.00","74,476.00","73,105.00","130,189.00","7,681.00","4,102.00"
ABRUZZI Total,,,57.87%,4,"1,145,842.00","558,054.00","587,788.00","663,052.00","331,453.00","331,599.00","579,278.00","34,157.00","16,548.00"
BASILICATA,Matera,Riduzione preferenze Camera dei Deputati,58.32%,1,"162,299.00","79,900.00","82,399.00","94,647.00","48,461.00","46,186.00","85,426.00","4,248.00","1,664.00"
,Matera Total,,58.32%,1,"162,299.00","79,900.00","82,399.00","94,647.00","48,461.00","46,186.00","85,426.00","4,248.00","1,664.00"
,Potenza,Riduzione preferenze Camera dei Deputati,52.14%,1,"338,325.00","166,314.00","172,011.00","176,418.00","90,425.00","85,993.00","151,993.00","11,162.00","5,406.00"
,Potenza Total,,52.14%,1,"338,325.00","166,314.00","172,011.00","176,418.00","90,425.00","85,993.00","151,993.00","11,162.00","5,406.00"
BASILICATA Total,,,54.15%,2,"500,624.00","246,214.00","254,410.00","271,065.00","138,886.00","132,179.00","237,419.00","15,410.00","7,070.00"
CALABRIA,Catanzaro,Riduzione preferenze Camera dei Deputati,44.52%,1,"603,407.00","295,622.00","307,785.00","268,625.00","139,578.00","129,047.00","240,476.00","13,080.00","6,746.00"
